,Date,Season,home,visitor,FT,hgoal,vgoal
15862,2011-10-22,2011,Energie Cottbus,SpVgg Greuther Furth,0-2,0,2
15863,2011-10-22,2011,Eintracht Braunschweig,Dynamo Dresden,0-2,0,2
15864,2011-10-23,2011,Eintracht Frankfurt,MSV Duisburg,3-0,3,0
15865,2011-10-23,2011,FC St. Pauli,FSV Frankfurt,2-1,2,1
15866,2011-10-23,2011,Erzgebirge Aue,1. FC Union Berlin,1-1,1,1
15867,2011-10-23,2011,Alemannia Aachen,FC Ingolstadt 04,3-1,3,1
15868,2011-10-28,2011,VfL Bochum,Alemannia Aachen,1-0,1,0
15869,2011-10-28,2011,1. FC Union Berlin,FC St. Pauli,0-2,0,2
15870,2011-10-28,2011,Hansa Rostock,Energie Cottbus,1-1,1,1
15871,2011-10-29,2011,SC Paderborn 07,Erzgebirge Aue,1-0,1,0
15872,2011-10-29,2011,Dynamo Dresden,Karlsruher SC,5-1,5,1
15873,2011-10-30,2011,MSV Duisburg,1860 Munchen,0-3,0,3
15874,2011-10-30,2011,FSV Frankfurt,Fortuna Dusseldorf,2-5,2,5
15875,2011-10-30,2011,FC Ingolstadt 04,Eintracht Frankfurt,1-1,1,1
15876,2011-10-31,2011,SpVgg Greuther Furth,Eintracht Braunschweig,1-3,1,3
15877,2011-11-04,2011,Fortuna Dusseldorf,Dynamo Dresden,2-1,2,1
15878,2011-11-04,2011,Karlsruher SC,FC Ingolstadt 04,3-2,3,2
15879,2011-11-04,2011,Eintracht Braunschweig,1. FC Union Berlin,1-2,1,2
15880,2011-11-05,2011,FC St. Pauli,SpVgg Greuther Furth,2-2,2,2
15881,2011-11-05,2011,1860 Munchen,VfL Bochum,1-3,1,3
15882,2011-11-06,2011,Energie Cottbus,SC Paderborn 07,0-2,0,2
15883,2011-11-06,2011,Alemannia Aachen,MSV Duisburg,2-2,2,2
15884,2011-11-06,2011,FSV Frankfurt,Hansa Rostock,0-0,0,0
15885,2011-11-07,2011,Erzgebirge Aue,Eintracht Frankfurt,1-2,1,2
15886,2011-11-18,2011,MSV Duisburg,Eintracht Braunschweig,3-0,3,0
15887,2011-11-18,2011,SC Paderborn 07,Karlsruher SC,2-1,2,1
15888,2011-11-18,2011,FC Ingolstadt 04,1860 Munchen,0-1,0,1
15889,2011-11-19,2011,Hansa Rostock,FC St. Pauli,1-3,1,3
15890,2011-11-19,2011,1. FC Union Berlin,Fortuna Dusseldorf,0-0,0,0
15891,2011-11-20,2011,Eintracht Frankfurt,Alemannia Aachen,4-3,4,3
15892,2011-11-20,2011,SpVgg Greuther Furth,FSV Frankfurt,4-0,4,0
15893,2011-11-20,2011,Dynamo Dresden,Erzgebirge Aue,1-2,1,2
15894,2011-11-21,2011,VfL Bochum,Energie Cottbus,0-1,0,1
15895,2011-11-25,2011,Erzgebirge Aue,MSV Duisburg,1-2,1,2
15896,2011-11-25,2011,FSV Frankfurt,SC Paderborn 07,2-2,2,2
15897,2011-11-25,2011,Hansa Rostock,1. FC Union Berlin,2-5,2,5
15898,2011-11-26,2011,1860 Munchen,Eintracht Frankfurt,2-1,2,1
15899,2011-11-26,2011,Karlsruher SC,Alemannia Aachen,0-2,0,2
15900,2011-11-27,2011,FC St. Pauli,Dynamo Dresden,3-1,3,1
15901,2011-11-27,2011,Energie Cottbus,FC Ingolstadt 04,0-0,0,0
