,Date,Season,home,visitor,FT,hgoal,vgoal
13391,2010-09-12,2010,1. FSV Mainz 05,1. FC Kaiserslautern,2-1,2,1
13392,2010-09-12,2010,1. FC Koln,FC St. Pauli,1-0,1,0
13393,2010-09-17,2010,Eintracht Frankfurt,SC Freiburg,0-1,0,1
13394,2010-09-18,2010,Bayern Munchen,1. FC Koln,0-0,0,0
13395,2010-09-18,2010,Werder Bremen,1. FSV Mainz 05,0-2,0,2
13396,2010-09-18,2010,VfB Stuttgart,Bor. Monchengladbach,7-0,7,0
13397,2010-09-18,2010,VfL Wolfsburg,Hannover 96,2-0,2,0
13398,2010-09-18,2010,1. FC Kaiserslautern,1899 Hoffenheim,2-2,2,2
13399,2010-09-19,2010,FC St. Pauli,Hamburger SV,1-1,1,1
13400,2010-09-19,2010,FC Schalke 04,Borussia Dortmund,1-3,1,3
13401,2010-09-19,2010,Bayer Leverkusen,1. FC Nurnberg,0-0,0,0
13402,2010-09-21,2010,1. FSV Mainz 05,1. FC Koln,2-0,2,0
13403,2010-09-21,2010,1899 Hoffenheim,Bayern Munchen,1-2,1,2
13404,2010-09-21,2010,Hannover 96,Werder Bremen,4-1,4,1
13405,2010-09-22,2010,Bayer Leverkusen,Eintracht Frankfurt,2-1,2,1
13406,2010-09-22,2010,Borussia Dortmund,1. FC Kaiserslautern,5-0,5,0
13407,2010-09-22,2010,Hamburger SV,VfL Wolfsburg,1-3,1,3
13408,2010-09-22,2010,Bor. Monchengladbach,FC St. Pauli,1-2,1,2
13409,2010-09-22,2010,SC Freiburg,FC Schalke 04,1-2,1,2
13410,2010-09-22,2010,1. FC Nurnberg,VfB Stuttgart,2-1,2,1
13411,2010-09-24,2010,1. FC Koln,1899 Hoffenheim,1-1,1,1
13412,2010-09-25,2010,Bayern Munchen,1. FSV Mainz 05,1-2,1,2
13413,2010-09-25,2010,FC Schalke 04,Bor. Monchengladbach,2-2,2,2
13414,2010-09-25,2010,VfB Stuttgart,Bayer Leverkusen,1-4,1,4
13415,2010-09-25,2010,Eintracht Frankfurt,1. FC Nurnberg,2-0,2,0
13416,2010-09-25,2010,FC St. Pauli,Borussia Dortmund,1-3,1,3
13417,2010-09-25,2010,Werder Bremen,Hamburger SV,3-2,3,2
13418,2010-09-26,2010,VfL Wolfsburg,SC Freiburg,2-1,2,1
13419,2010-09-26,2010,1. FC Kaiserslautern,Hannover 96,0-1,0,1
13420,2010-10-01,2010,Hannover 96,FC St. Pauli,0-1,0,1
13421,2010-10-02,2010,Hamburger SV,1. FC Kaiserslautern,2-1,2,1
13422,2010-10-02,2010,1. FSV Mainz 05,1899 Hoffenheim,4-2,4,2
13423,2010-10-02,2010,Bor. Monchengladbach,VfL Wolfsburg,1-1,1,1
13424,2010-10-02,2010,SC Freiburg,1. FC Koln,3-2,3,2
13425,2010-10-02,2010,1. FC Nurnberg,FC Schalke 04,2-1,2,1
13426,2010-10-03,2010,VfB Stuttgart,Eintracht Frankfurt,1-2,1,2
13427,2010-10-03,2010,Borussia Dortmund,Bayern Munchen,2-0,2,0
13428,2010-10-03,2010,Bayer Leverkusen,Werder Bremen,2-2,2,2
13429,2010-10-15,2010,1. FC Koln,Borussia Dortmund,1-2,1,2
13430,2010-10-16,2010,Bayern Munchen,Hannover 96,3-0,3,0
13431,2010-10-16,2010,FC Schalke 04,VfB Stuttgart,2-2,2,2
13432,2010-10-16,2010,Werder Bremen,SC Freiburg,2-1,2,1
13433,2010-10-16,2010,1. FSV Mainz 05,Hamburger SV,0-1,0,1
13434,2010-10-16,2010,FC St. Pauli,1. FC Nurnberg,3-2,3,2
13435,2010-10-16,2010,VfL Wolfsburg,Bayer Leverkusen,2-3,2,3
13436,2010-10-17,2010,1. FC Kaiserslautern,Eintracht Frankfurt,0-3,0,3
13437,2010-10-17,2010,1899 Hoffenheim,Bor. Monchengladbach,3-2,3,2
13438,2010-10-22,2010,Hamburger SV,Bayern Munchen,0-0,0,0
13439,2010-10-23,2010,Eintracht Frankfurt,FC Schalke 04,0-0,0,0
13440,2010-10-23,2010,Bor. Monchengladbach,Werder Bremen,1-4,1,4
13441,2010-10-23,2010,SC Freiburg,1. FC Kaiserslautern,2-1,2,1
13442,2010-10-23,2010,Hannover 96,1. FC Koln,2-1,2,1
13443,2010-10-23,2010,1. FC Nurnberg,VfL Wolfsburg,2-1,2,1
13444,2010-10-24,2010,Borussia Dortmund,1899 Hoffenheim,1-1,1,1
13445,2010-10-24,2010,Bayer Leverkusen,1. FSV Mainz 05,0-1,0,1
