,Date,Season,home,visitor,FT,hgoal,vgoal
4039,2014-05-17,2014,DC United,Montreal Impact,1-1,1,1
4040,2014-05-17,2014,Houston Dynamo,LA Galaxy,1-0,1,0
4041,2014-05-17,2014,FC Dallas,CD Chivas USA,1-1,1,1
4042,2014-05-17,2014,Real Salt Lake,Colorado Rapids,2-1,2,1
4043,2014-05-18,2014,Seattle Sounders,San Jose Earthquakes,1-0,1,0
4044,2014-05-18,2014,Portland Timbers,Columbus Crew,3-3,3,3
4045,2014-05-18,2014,Chicago Fire,Sporting Kansas City,2-1,2,1
4046,2014-05-21,2014,DC United,Houston Dynamo,2-0,2,0
4047,2014-05-22,2014,LA Galaxy,FC Dallas,2-1,2,1
4048,2014-05-23,2014,Sporting Kansas City,Toronto FC,2-2,2,2
4049,2014-05-24,2014,Vancouver Whitecaps,Seattle Sounders,2-2,2,2
4050,2014-05-24,2014,New York Red Bulls,Portland Timbers,1-2,1,2
4051,2014-05-24,2014,Columbus Crew,Chicago Fire,2-0,2,0
4052,2014-05-24,2014,New England Revolution,DC United,2-1,2,1
4053,2014-05-24,2014,Colorado Rapids,Montreal Impact,4-1,4,1
4054,2014-05-24,2014,Real Salt Lake,FC Dallas,0-0,0,0
4055,2014-05-25,2014,LA Galaxy,Philadelphia Union,4-1,4,1
4056,2014-05-26,2014,San Jose Earthquakes,Houston Dynamo,3-0,3,0
4057,2014-05-27,2014,Sporting Kansas City,New York Red Bulls,1-1,1,1
4058,2014-05-29,2014,CD Chivas USA,Portland Timbers,0-2,0,2
4059,2014-05-31,2014,Seattle Sounders,Real Salt Lake,4-0,4,0
4060,2014-05-31,2014,Toronto FC,Columbus Crew,3-2,3,2
4061,2014-05-31,2014,Montreal Impact,New England Revolution,2-0,2,0
4062,2014-05-31,2014,DC United,Sporting Kansas City,1-0,1,0
4063,2014-05-31,2014,FC Dallas,San Jose Earthquakes,1-2,1,2
4064,2014-06-01,2014,CD Chivas USA,Philadelphia Union,0-3,0,3
4065,2014-06-01,2014,Chicago Fire,LA Galaxy,1-1,1,1
4066,2014-06-01,2014,Colorado Rapids,Houston Dynamo,3-0,3,0
4067,2014-06-01,2014,Portland Timbers,Vancouver Whitecaps,3-4,3,4
4068,2014-06-04,2014,Columbus Crew,Real Salt Lake,1-1,1,1
4069,2014-06-04,2014,Colorado Rapids,Chicago Fire,0-0,0,0
4070,2014-06-06,2014,Houston Dynamo,Sporting Kansas City,0-2,0,2
4071,2014-06-07,2014,Toronto FC,San Jose Earthquakes,1-0,1,0
4072,2014-06-07,2014,DC United,Columbus Crew,0-0,0,0
4073,2014-06-07,2014,Philadelphia Union,Vancouver Whitecaps,3-3,3,3
4074,2014-06-07,2014,Chicago Fire,Seattle Sounders,2-3,2,3
4075,2014-06-07,2014,FC Dallas,Colorado Rapids,3-2,3,2
4076,2014-06-08,2014,Real Salt Lake,Portland Timbers,1-3,1,3
4077,2014-06-08,2014,New England Revolution,New York Red Bulls,0-2,0,2
4078,2014-06-08,2014,LA Galaxy,CD Chivas USA,1-1,1,1
4079,2014-06-11,2014,Montreal Impact,DC United,2-4,2,4
4080,2014-06-12,2014,Portland Timbers,FC Dallas,2-2,2,2
4081,2014-06-26,2014,Vancouver Whitecaps,Montreal Impact,0-0,0,0
4082,2014-06-27,2014,New York Red Bulls,Toronto FC,2-2,2,2
4083,2014-06-28,2014,Portland Timbers,Sporting Kansas City,0-1,0,1
4084,2014-06-28,2014,DC United,Seattle Sounders,0-1,0,1
4085,2014-06-28,2014,New England Revolution,Philadelphia Union,1-3,1,3
4086,2014-06-28,2014,Colorado Rapids,Vancouver Whitecaps,2-0,2,0
4087,2014-06-29,2014,CD Chivas USA,Real Salt Lake,1-0,1,0
4088,2014-06-29,2014,San Jose Earthquakes,LA Galaxy,0-1,0,1
4089,2014-06-29,2014,Columbus Crew,FC Dallas,0-0,0,0
4090,2014-06-29,2014,Montreal Impact,Houston Dynamo,3-0,3,0
4091,2014-07-02,2014,Chicago Fire,Toronto FC,1-1,1,1
4092,2014-07-03,2014,San Jose Earthquakes,CD Chivas USA,0-1,0,1
4093,2014-07-04,2014,Houston Dynamo,New York Red Bulls,2-2,2,2
4094,2014-07-04,2014,FC Dallas,Philadelphia Union,2-1,2,1
4095,2014-07-04,2014,Colorado Rapids,Columbus Crew,1-1,1,1
4096,2014-07-05,2014,Real Salt Lake,New England Revolution,2-1,2,1
4097,2014-07-05,2014,LA Galaxy,Portland Timbers,2-2,2,2
4098,2014-07-05,2014,Toronto FC,DC United,1-2,1,2
4099,2014-07-06,2014,Vancouver Whitecaps,Seattle Sounders,1-0,1,0
4100,2014-07-06,2014,CD Chivas USA,Montreal Impact,1-0,1,0
4101,2014-07-06,2014,Sporting Kansas City,Chicago Fire,1-1,1,1
4102,2014-07-12,2014,San Jose Earthquakes,DC United,1-2,1,2
4103,2014-07-12,2014,Toronto FC,Houston Dynamo,4-2,4,2
4104,2014-07-12,2014,New York Red Bulls,Columbus Crew,4-1,4,1
4105,2014-07-12,2014,Philadelphia Union,Colorado Rapids,3-3,3,3
4106,2014-07-12,2014,Montreal Impact,Sporting Kansas City,1-2,1,2
4107,2014-07-12,2014,New England Revolution,Chicago Fire,0-1,0,1
