,Date,home,visitor,hgoal,vgoal,goaldiff,result
2490,21/10/2018,Montreal Impact,Toronto FC,2,0,2,1
2491,21/10/2018,Orlando City,Columbus Crew,2,1,1,1
2492,21/10/2018,Philadelphia Union,New York Red Bulls,0,1,-1,-1
2493,21/10/2018,FC Dallas,Sporting Kansas City,0,3,-3,-1
2494,21/10/2018,Houston Dynamo,Seattle Sounders,2,3,-1,-1
2495,21/10/2018,Los Angeles FC,Vancouver Whitecaps,2,2,0,0
2496,21/10/2018,Minnesota United,Los Angeles Galaxy,1,3,-2,-1
2497,21/10/2018,Portland Timbers,Real Salt Lake,3,0,3,1
2498,21/10/2018,San Jose Earthquakes,Colorado Rapids,0,0,0,0
2499,28/10/2018,Chicago Fire,DC United,0,0,0,0
2500,28/10/2018,Colorado Rapids,FC Dallas,2,1,1,1
2501,28/10/2018,Columbus Crew,Minnesota United,3,2,1,1
2502,28/10/2018,Los Angeles Galaxy,Houston Dynamo,2,3,-1,-1
2503,28/10/2018,New England Revolution,Montreal Impact,1,0,1,1
2504,28/10/2018,New York City,Philadelphia Union,3,1,2,1
2505,28/10/2018,New York Red Bulls,Orlando City,1,0,1,1
2506,28/10/2018,Seattle Sounders,San Jose Earthquakes,2,1,1,1
2507,28/10/2018,Sporting Kansas City,Los Angeles FC,2,1,1,1
2508,28/10/2018,Toronto FC,Atlanta United,4,1,3,1
2509,28/10/2018,Vancouver Whitecaps,Portland Timbers,2,1,1,1
2510,31/10/2018,New York City,Philadelphia Union,3,1,2,1
2511,01/11/2018,FC Dallas,Portland Timbers,1,2,-1,-1
2512,02/11/2018,DC United,Columbus Crew,1,1,0,0
2513,02/11/2018,Los Angeles FC,Real Salt Lake,2,3,-1,-1
2514,04/11/2018,Columbus Crew,New York Red Bulls,1,0,1,1
2515,04/11/2018,Portland Timbers,Seattle Sounders,2,1,1,1
2516,05/11/2018,New York City,Atlanta United,0,1,-1,-1
2517,05/11/2018,Real Salt Lake,Sporting Kansas City,1,1,0,0
2518,09/11/2018,Seattle Sounders,Portland Timbers,2,1,1,1
2519,11/11/2018,Sporting Kansas City,Real Salt Lake,4,2,2,1
2520,11/11/2018,Atlanta United,New York City,3,1,2,1
2521,12/11/2018,New York Red Bulls,Columbus Crew,3,0,3,1
2522,25/11/2018,Atlanta United,New York Red Bulls,3,0,3,1
2523,26/11/2018,Portland Timbers,Sporting Kansas City,0,0,0,0
2524,30/11/2018,New York Red Bulls,Atlanta United,1,0,1,1
2525,30/11/2018,Sporting Kansas City,Portland Timbers,2,3,-1,-1
2526,09/12/2018,Atlanta United,Portland Timbers,2,0,2,1
2527,02/03/2019,Philadelphia Union,Toronto FC,1,3,-2,-1
2528,02/03/2019,Orlando City,New York City,2,2,0,0
2529,02/03/2019,Columbus Crew,New York Red Bulls,1,1,0,0
2530,02/03/2019,FC Dallas,New England Revolution,1,1,0,0
2531,02/03/2019,Colorado Rapids,Portland Timbers,3,3,0,0
2532,02/03/2019,Houston Dynamo,Real Salt Lake,1,1,0,0
2533,02/03/2019,Vancouver Whitecaps,Minnesota United,2,3,-1,-1
2534,03/03/2019,Los Angeles Galaxy,Chicago Fire,2,1,1,1
2535,03/03/2019,San Jose Earthquakes,Montreal Impact,1,2,-1,-1
2536,03/03/2019,Seattle Sounders,Cincinnati,4,1,3,1
2537,03/03/2019,DC United,Atlanta United,2,0,2,1
2538,04/03/2019,Los Angeles FC,Sporting Kansas City,2,1,1,1
2539,09/03/2019,Chicago Fire,Orlando City,1,1,0,0
2540,09/03/2019,New England Revolution,Columbus Crew,0,2,-2,-1
2541,09/03/2019,FC Dallas,Los Angeles Galaxy,2,0,2,1
2542,09/03/2019,Houston Dynamo,Montreal Impact,2,1,1,1
2543,09/03/2019,Real Salt Lake,Vancouver Whitecaps,1,0,1,1
2544,10/03/2019,San Jose Earthquakes,Minnesota United,0,3,-3,-1
